"STT
No","Tên môn học
 Course Name","Mã học phần
Course code"
2.3.3,Tự chọn: chọn 5 học phần,
,"Định hướng Marketing
Marketing Concentration",
67,"Thương hiệu trong kinh doanh quốc tế
(Brand in International Business)",MKTE407
68,"Quan hệ khách hàng trong kinh doanh
(Business Customer Relationship)",MKTE402
69,"Nghiên cứu Marketing
(Marketing Research)",MKTE305
70,"Quản lý kênh phân phối và lực lượng bán hàng
(Distribution Channel and Sales Force Management)",MKTE306
71,"Truyền thông trong kinh doanh quốc tế
(International Business Communication)",MKTE408
72,"Marketing số
(Digital marketing)",MKTE206
,"Định hướng Quản lý công
Public Governance Concentration",
73,"Quản lý toàn cầu
(Global Governance)",KTEE305
74,"Quản lý số
(Digital Governance)",KTEE315
75,"Quản lý biến đổi khí hậu toàn cầu
(Global Climate Governance)",KTEE317
76,"Phân tích kinh tế dự án đầu tư công
(Economic Analysis of Public Investment Project)",DTUE309
77,"Quản lý nhà nước về tài nguyên biển
(State Management on Maritime Resource)",KTEE333
78,"Lựa chọn công
(Public Choice)",KTEE334
79,"Tài chính công
(Public Finance)",TCHE431
80,"Tài chính quốc tế
(International Finance)",TCHE414
81,"Phân tích chính sách thương mại
(Trade Policy Analysis)",TMAE328
82,"Pháp luật thương mại quốc tế
(International Trade Law)",PLUE422
83,"Thương mại dịch vụ
(Trade in Services)",TMAE412
,"Định hướng Kinh doanh quốc tế
International Business Concentration",
84,"Kinh tế học về nền tảng kinh doanh
(Economics of Platforms)",KTEE335
85,"Kinh doanh số
(Digital Business)",DBZE306
86,"Nghiệp vụ kinh doanh quốc tế
(International business Operations)",KDOE408
87,"Chuỗi giá trị toàn cầu
(Global Value Chain)",KDOE304
88,"Đàm phán và Quản trị xung đột
(Negotiation and Conflict Management)",KDOE302
89,"Đạo đức kinh doanh và trách nhiệm xã hội của doanh nghiệp
(Business Ethics and Corporate Social Responsibility)",KDOE305
90,"Pháp luật kinh doanh quốc tế
(International Business Law)",PLUE410
91,"Thuế quốc tế *
(International Taxation)",TMAE330
92,"Thuế và hệ thống thuế ở Việt Nam *
(Taxation and Tax System in Vietnam)",TMAE320
93,"Quản lý rủi ro trong kinh doanh quốc tế
(Risk Management in International Business)",KDOE402
94,"Quản lý dự án đầu tư quốc tế
(International Investment Project Management)",TMAE315
95,"Thanh toán quốc tế
(International Payments)",TCHE412
,"Định hướng Logistics và Quản lý chuỗi cung ứng
Logistics and Supply Chain Management Concentration",
96,"Nghiệp vụ hải quan
(Customs Practices)",TMAE310
97,"Quản lý chuỗi cung ứng
(Supply Chain Management)",TMAE313
98,"Quản lý sản xuất và vận hành
(Operation and Production Management in Supply Chain)",KTEE337
99,"Quản lý mua hàng toàn cầu
(Global Purchasing Management)",GPME301
100,"Quản lý vận tải quốc tế
(International Transport Management)",ITME301
101,"Hợp đồng trong quản lý chuỗi cung ứng
(Contract in Supply Chain Management)",KTEE338
102,"Quản lý kho hàng và phân phối
(Warehouse and Distribution Management)",WDME301
103,"Thuận lợi hóa thương mại
(Trade Facilitation)",TMAE410
,"Định hướng khác
OTHERS",
104,"Phân tích đầu tư chứng khoán
(Securities Analysis and Investment)",DTUE401
105,"Sáng tạo xã hội
(Social Innovation)",TMAE202
106,"Sáng tạo kinh doanh
(Business Innovation)",TMAE327
107,"Kế toán quốc tế
(International Accounting)",KETE410
108,"Các biện pháp phi thuế trong thương mại quốc tế
(Non-Tariff Measures in International Trade)",TMAE329
3,"THỰC HÀNH – THỰC TẬP
Internship - Practicum",
109,"Kỹ năng phát triển nghề nghiệp
(Career Development Skills)",KDOE441
110,"Thực tập giữa khóa
(Mid-course Internship)",KTEE501
,"Thực hành dự án kinh tế, kinh doanh
(Chọn 1 trong 2 học phần KTEE507 hoặc KTEE508)
Economic Research and Business Project in Practice (Choose KTEE507 or KTEE508)",
111,"Thực hành dự án kinh doanh
(Business Project in Practice)",KTEE507
112,"Thực hành phân tích kinh tế
(Economic Research Project in Practice)",KTEE508
113,"Khóa luận tốt nghiệp
(Graduation Thesis)",KTEE528
