STT,HỌC PHẦN,Mã học phần
66,Công nghệ tài chính và ứng dụng(Fintech and Applications),TCHE406/TCHH406
67,Phân tích dữ liệu Web(Web Analytics),DASE403/DASH403
68,Mô hình chuỗi thời gian trong kinh tế và kinh doanh(Time Series Models for Economics and Business),TOAE206/TOAH206
69,Mô hình ngẫu nhiên trong Phân tích dữ liệu kinh doanh(Stochastic Models in Business Analytics),DASE402/DASH402
3,"Học phần thực tế, thực tập (Internship)",
70,i-TEC 1: Phát triển kỹ năng và định hướng nghề nghiệp(i-TEC 1: Career Path Design and Skill Development),COSE101/COSH101
71,i-TEC 2: Dự án AI(i-TEC 2: Artificial Intelligence Project),COSE204/COSH204
72,i-TEC 3: Dự án Tối ưu hoá trong kinh tế và kinh doanh (Thực tập giữa khoá)(i-TEC 3: Optimization in Economics and Business Project),COSE305/COSH305
4,Học phần tốt nghiệp,
73,i-TEC 4: Học phần Tốt nghiệp – Dự án sáng tạo(i-TEC 4: Graduation Thesis – Creative Project),COSE531/COSH531
